uuid,Team,room,name,iteration,duration_ms,favorite,session,notes,prompt,intention,customTags,bodyTags
1d2c2c87-dc09-4fbf-93bc-1369822d4eed,4,4ec34f34-97f9-44b5-bc53-1a321aaaaa42,team_4-p_1,1,7351,0,1,-,-,-,-,-
500573ba-9b9b-4825-a3b7-336ba77f7e76,4,4ec34f34-97f9-44b5-bc53-1a321aaaaa42,team_4-p_1,2,9197,0,1,-,-,-,-,-
d968414d-7ae9-4c6f-9da9-21740d5dd49f,4,4ec34f34-97f9-44b5-bc53-1a321aaaaa42,team_4-p_1,3,9007,0,1,-,-,-,-,-
11d185d9-1e86-4e20-8261-8f1ae00b4725,4,4ec34f34-97f9-44b5-bc53-1a321aaaaa42,severin test 3,1,7607,0,1,-,-,-,-,-
040b84e5-85fb-41d4-bcc0-febcf0d0cd2a,4,4ec34f34-97f9-44b5-bc53-1a321aaaaa43,team_4-p_2,1,6684,0,1,-,-,-,-,-
33a8c649-aa84-445d-bdaf-20babdd7a9f1,4,4ec34f34-97f9-44b5-bc53-1a321aaaaa42,mario_prompt,1,8600,0,1,-,-,-,-,-
56d4a4a7-9ad6-4266-9a7f-a3e924a30ef3,4,4ec34f34-97f9-44b5-bc53-1a321aaaaa42,mario_prompt,2,7567,0,1,-,-,-,-,-
a6dc290e-6b28-4a4e-bcf6-0388ea7c59f1,4,4ec34f34-97f9-44b5-bc53-1a321aaaaa42,mario_prompt,3,8057,0,1,-,-,-,-,-
1abb66cc-b963-4bde-bc6a-653f3af157f6,4,4ec34f34-97f9-44b5-bc53-1a321aaaaa41,Mario Gustav Test 1,1,8333,0,1,-,-,-,-,-
cdf045eb-0d2d-4b5c-b272-849372fbf049,4,4ec34f34-97f9-44b5-bc53-1a321aaaaa41,mario_prompt,4,8159,0,1,-,walking,Mario doing a loop and bouncing on the stones,-,left forearm
